Frequency,Radial velocity,Data
1419826573.1143694,-136.0325770118917,-52.015778569844436
1419831460.6999023,-135.00099763499094,-52.715542212732515
1419836348.285435,-133.96941825814048,-53.42824740952261
1419841235.8709676,-132.93783888129005,-53.94369785805222
1419846123.4565005,-131.90625950438928,-52.336810609844406
1419851011.0420332,-130.87468012753882,-53.0425747825526
1419855898.627566,-129.84310075063806,-52.82891969140447
1419860786.2130988,-128.8115213737876,-52.61968580099702
1419865673.7986314,-127.77994199693713,-53.128651185662164
1419870561.3841643,-126.74836262003636,-51.71077497592411
1419875448.969697,-125.71678324318592,-52.35846751716502
1419880336.5552297,-124.68520386633546,-54.24895786049621
1419885224.1407626,-123.65362448943469,-54.93220144670717
1419890111.7262952,-122.62204511258423,-51.3468586344779
1419894999.311828,-121.5904657357338,-56.01084760811112
1419899886.8973608,-120.55888635883302,-56.03737026463995
1419904774.4828935,-119.52730698198258,-49.69176673504908
1419909662.0684261,-118.49572760513212,-52.35197820968928
1419914549.653959,-117.46414822823135,-54.888118922945885
1419919437.2394917,-116.4325688513809,-53.77073392122171
1419924324.8250244,-115.40098947453045,-55.02178185177928
1419929212.4105573,-114.36941009762968,-52.851460903717815
1419934099.99609,-113.33783072077922,-52.95306375220794
1419938987.5816226,-112.30625134392876,-52.57369851554192
1419943875.1671555,-111.274671967028,-56.33341489233116
1419948762.7526882,-110.24309259017755,-53.52414030796561
1419953650.3382208,-109.21151321332711,-54.074980445665865
1419958537.9237537,-108.17993383642633,-57.80573983148002
1419963425.5092864,-107.14835445957588,-49.895807477494564
1419968313.094819,-106.11677508272544,-54.07203854400058
1419973200.680352,-105.08519570582467,-52.28587063804974
1419978088.2658846,-104.05361632897421,-50.854792552108464
1419982975.8514173,-103.02203695212376,-55.30367721798194
1419987863.4369502,-101.99045757522299,-53.51879785397146
1419992751.0224829,-100.95887819837253,-51.11088814584582
1419997638.6080155,-99.9272988215221,-53.43095462083398
1420002526.1935484,-98.89571944462132,-51.12838999478792
1420007413.779081,-97.86414006777086,-51.406289965311316
1420012301.3646138,-96.83256069092042,-51.880823893740654
1420017188.9501467,-95.80098131401964,-53.04973500884933
1420022076.5356793,-94.7694019371692,-53.90541818524976
1420026964.121212,-93.73782256031875,-56.7582262171138
1420031851.706745,-92.70624318341798,-57.519288309050516
1420036739.2922776,-91.67466380656752,-50.224744203693135
1420041626.8778105,-90.64308442966674,-55.22998953530486
1420046514.4633431,-89.6115050528163,-53.395592014036694
1420051402.0488758,-88.57992567596585,-51.19096844184583
1420056289.6344087,-87.54834629906509,-52.469473527354076
1420061177.2199414,-86.51676692221463,-54.50866666874022
1420066064.805474,-85.48518754536418,-53.11822314788573
1420070952.391007,-84.45360816846342,-53.34090471996946
1420075839.9765396,-83.42202879161296,-49.259636781837784
1420080727.5620723,-82.39044941476251,-52.444847941001946
1420085615.1476052,-81.35887003786173,-54.91434428535209
1420090502.7331378,-80.32729066101129,-50.97403575487294
1420095390.3186705,-79.29571128416083,-50.22218314582376
1420100277.9042034,-78.26413190726007,-51.723534536838386
1420105165.489736,-77.23255253040962,-53.62007406405116
1420110053.0752687,-76.20097315355916,-53.08356174369024
1420114940.6608016,-75.1693937766584,-54.829783902369016
1420119828.2463343,-74.13781439980795,-52.39922859286109
1420124715.831867,-73.10623502295749,-54.386654194257986
1420129603.4174,-72.07465564605673,-52.1987407910401
1420134491.0029325,-71.04307626920628,-55.381586160258784
1420139378.5884652,-70.01149689235582,-52.81779172901125
1420144266.173998,-68.97991751545504,-50.673882200324805
1420149153.7595308,-67.9483381386046,-52.92240015264808
1420154041.3450634,-66.91675876175415,-52.42655381257501
1420158928.9305964,-65.88517938485339,-52.522585006505025
1420163816.516129,-64.85360000800293,-52.96557379633897
1420168704.1016617,-63.82202063115248,-51.415956149031004
1420173591.6871946,-62.79044125425171,-56.1185004095539
